class last.change n5.d3 n5.d4 n10.d3 n10.d4 dist.d3 last.d3 last.d4 dist.d4  r3.sdl r3.sap r4.sdl r4.sap
 2 0 6 1 19 1 3.162 0 3.606 0 5 9 0 0
 2 0 0 24 0 89 -1 -1 1.414 0 0 0 21 22
 4 0 3 67 28 157 4 0 0 0 14 10 27 23
 4 0 49 21 152 87 1 0 0 0 22 24 22 25
 2 0 0 0 6 12 9 0 8 0 5 7 8 9
 3 0 62 0 163 8 0 0 7.28 0 24 24 5 7
 3 0 80 1 272 7 0 0 5 0 23 27 0 0
 2 0 0 0 12 12 8.485 0 6.325 0 22 7 0 0
 2 0 0 7 8 9 5.099 0 2.828 0 0 0 5 5
 3 0 21 38 54 118 0 0 1 0 23 19 13 16
 2 0 33 5 85 36 1.414 0 3.162 0 26 17 13 11
 3 0 40 5 89 10 0 0 3.606 0 14 22 1 0
 4 0 45 28 88 129 1 0 0 0 23 21 20 22
 2 18 27 22 109 66 1 0 1 0 15 21 24 7
 2 0 2 29 3 151 5 0 1 0 0 0 30 24
 2 0 1 10 45 22 5 0 2.828 0 0 0 5 0
 3 0 60 0 122 13 0 0 6 0 30 19 0 0
 4 0 0 39 2 60 8.062 0 0 0 0 0 19 23
 2 0 0 0 0 14 -1 -1 7.28 0 0 0 0 0
 3 0 67 0 185 2 0 0 7.071 0 34 25 0 0
 2 0 0 0 0 13 -1 -1 7.81 0 0 0 0 0
 2 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0
 4 0 0 46 1 168 10 0 0 0 0 0 34 29
 2 0 2 0 18 1 3.162 0 6 0 12 6 0 0
 3 0 59 8 196 26 0 0 3 0 23 21 8 7
 2 0 0 0 12 0 7.211 0 -1 -1 0 0 5 1
 2 0 0 6 2 7 5.657 0 3 0 0 0 0 0
 2 0 0 3 47 47 5.657 0 4.243 0 23 9 7 11
 3 0 35 2 65 7 0 0 4.243 0 16 22 0 0
 3 0 50 5 183 5 0 0 1.414 0 26 24 13 3
 2 23 11 32 23 107 1 0 1 0 11 14 20 1
 2 0 2 0 2 0 2.236 0 -1 -1 0 0 0 0
 4 0 3 71 9 210 4.243 0 0 0 0 0 24 29
 2 0 0 0 2 15 8.062 0 7.071 0 5 0 5 0
 2 0 15 41 33 136 2 0 1 0 12 11 24 22
 4 0 45 19 176 40 1 0 0 0 32 22 15 16
 4 0 0 56 6 135 8.544 0 0 0 0 0 22 23
 2 0 0 0 0 3 -1 -1 9.487 0 0 0 0 0
 3 0 25 19 88 72 0 0 1 0 23 21 24 20
 2 0 2 0 17 2 4.472 0 6.403 0 11 6 0 0
 3 0 60 21 208 79 0 0 1 0 29 25 20 17
 2 19 0 3 42 19 5.831 0 4.123 0 5 0 0 0
 4 0 0 66 8 206 8 0 0 0 19 9 31 24
 4 0 0 81 33 275 6.403 0 0 0 0 0 35 28
