 Run Year start.veg start.hb pre.flamm pre.inv pre.man pre.kan pre.yfor pre.ofor fire.size burn.inv burn.man burn.kan burn.yfor burn.ofor post.flamm new.invasions
 0 19 1 8 0.215 0.005 0.337 0.257 0.2 0.201 531 0 0.012 0.009 0.002 0 0.219 189
 0 25 1 8 0.21 0.008 0.265 0.328 0.199 0.201 7565 0 0.206 0.121 0.006 0.003 0.257 2649
 0 34 1 8 0.256 0.118 0.276 0.217 0.192 0.198 9621 0.109 0.228 0.077 0.009 0.004 0.305 3913
 0 35 1 5 0.305 0.241 0.243 0.139 0.183 0.194 11310 0.241 0.213 0.029 0.015 0.004 0.362 4222
 0 38 0 8 0.362 0.406 0.127 0.11 0.168 0.189 12424 0.405 0.102 0.028 0.013 0.005 0.396 2239
 0 42 0 8 0.396 0.496 0.076 0.088 0.155 0.185 13468 0.496 0.058 0.028 0.011 0.006 0.419 1376
 0 43 0 8 0.419 0.549 0.066 0.062 0.144 0.179 14237 0.549 0.052 0.013 0.012 0.007 0.438 1129
 0 58 0 5 0.435 0.592 0.045 0.05 0.141 0.172 14670 0.591 0.041 0.002 0.012 0.006 0.451 933
 0 64 0 6 0.451 0.627 0.029 0.045 0.131 0.168 15200 0.627 0.026 0.004 0.014 0.005 0.464 671
 0 70 0 8 0.464 0.654 0.025 0.04 0.118 0.163 15656 0.653 0.022 0.004 0.011 0.005 0.475 577
 0 75 0 8 0.475 0.675 0.024 0.036 0.106 0.159 16054 0.675 0.021 0.002 0.01 0.005 0.485 529
 0 76 0 7 0.485 0.694 0.023 0.033 0.097 0.153 16447 0.694 0.02 0.001 0.009 0.007 0.495 516
 0 79 0 8 0.495 0.713 0.021 0.032 0.087 0.147 16796 0.713 0.018 0.001 0.009 0.005 0.504 472
 0 87 0 8 0.504 0.731 0.019 0.031 0.071 0.148 17144 0.73 0.017 0.002 0.008 0.005 0.513 441
 0 94 0 8 0.512 0.747 0.018 0.027 0.063 0.145 17588 0.747 0.016 0.006 0.008 0.006 0.521 437
 0 99 0 8 0.521 0.763 0.021 0.019 0.057 0.14 17892 0.763 0.018 0.002 0.008 0.004 0.529 439
 0 104 0 8 0.529 0.779 0.019 0.016 0.049 0.137 18203 0.779 0.017 0.003 0.007 0.004 0.537 417
 0 108 0 8 0.537 0.796 0.016 0.012 0.04 0.136 18440 0.795 0.013 0.002 0.004 0.006 0.543 350
 0 111 0 8 0.543 0.808 0.015 0.009 0.037 0.13 18752 0.808 0.012 0.003 0.004 0.007 0.55 323
 0 119 0 8 0.55 0.82 0.017 0.004 0.036 0.124 18984 0.82 0.015 0 0.004 0.006 0.556 320
 0 124 0 8 0.556 0.832 0.014 0.003 0.033 0.118 19196 0.832 0.012 0 0.004 0.004 0.562 305
 0 134 0 8 0.561 0.844 0.011 0.001 0.03 0.114 19404 0.844 0.01 0 0.004 0.005 0.567 260
 0 141 0 8 0.567 0.854 0.01 0 0.026 0.11 19567 0.853 0.009 0 0.003 0.004 0.571 240
 0 143 0 8 0.571 0.862 0.009 0 0.023 0.105 19746 0.862 0.008 0 0.004 0.004 0.576 209
 0 148 0 8 0.576 0.87 0.009 0 0.02 0.101 19873 0.87 0.008 0 0.002 0.004 0.579 180
 0 150 0 8 0.579 0.876 0.008 0 0.018 0.097 19986 0.876 0.007 0 0.001 0.004 0.583 160
 0 159 0 8 0.583 0.882 0.008 0 0.017 0.093 20131 0.882 0.007 0 0.002 0.004 0.586 171
 0 164 0 8 0.586 0.889 0.007 0 0.014 0.089 20243 0.889 0.006 0 0.002 0.003 0.589 151
 0 168 0 8 0.589 0.895 0.006 0 0.012 0.087 20358 0.895 0.005 0 0.002 0.004 0.592 132
 0 174 0 8 0.592 0.9 0.006 0 0.01 0.084 20461 0.9 0.005 0 0.001 0.003 0.595 125
 0 178 0 8 0.595 0.904 0.006 0 0.009 0.081 20537 0.904 0.005 0 0 0.003 0.597 134
 0 185 0 8 0.597 0.909 0.004 0 0.008 0.078 20633 0.909 0.004 0 0.001 0.004 0.6 105
 0 188 0 8 0.6 0.913 0.005 0 0.007 0.075 20695 0.913 0.004 0 0 0.002 0.601 89
 0 199 0 8 0.601 0.916 0.004 0 0.006 0.073 20762 0.916 0.003 0 0 0.003 0.603 81
 0 223 0 8 0.603 0.918 0.005 0.001 0.005 0.071 20842 0.918 0.004 0 0 0.003 0.557 89
 0 233 0 8 0.557 0.761 0.166 0.001 0.004 0.069 20860 0.76 0.163 0 0 0.003 0.546 2814
 0 234 0 8 0.546 0.721 0.209 0 0.003 0.066 20907 0.721 0.205 0 0 0.003 0.604 4486
 Run Year start.veg start.hb pre.flamm pre.inv pre.man pre.kan pre.yfor pre.ofor fire.size burn.inv burn.man burn.kan burn.yfor burn.ofor post.flamm new.invasions
 0 14 1 8 0.214 0 0.349 0.249 0.2 0.202 8266 0 0.273 0.084 0.008 0.002 0.226 0
 0 21 1 6 0.224 0 0.425 0.183 0.192 0.2 10111 0 0.381 0.054 0.011 0.004 0.233 0
 0 24 1 8 0.232 0 0.485 0.138 0.181 0.196 10652 0 0.426 0.034 0.009 0.003 0.239 0
 0 42 1 8 0.236 0 0.507 0.128 0.172 0.193 11944 0 0.49 0.025 0.011 0.005 0.243 0
